time,P1,P2,P3,P4,P5,P6,P7,P8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.029001727984634577,0.8120456348154467,0.9368958890673369,0.032529974934320506,0.014043039968987148,0.02853251709351263,0.023628330936404422,0.4797644021594987
20.0,0.059883091578422615,1.564417684015404,2.115077387021265,0.0618853166426393,0.028057112255231144,0.11862297422677488,0.12018597263428527,0.7793839665617311
30.0,0.09224241477990096,2.286911692201398,2.6809103662719656,0.09606047326777699,0.036420163724123045,0.5091908076805094,0.5238235050823064,0.9116556869306311
40.0,0.1457529842199577,2.5859759176895056,3.656060151702326,0.14055098949320796,0.044072275570842354,1.3287075978192917,1.3257894597175364,0.8247107105605377
50.0,0.4304807719832267,2.65526037053226,5.218796398604572,0.3985774764723355,0.051639371368627056,2.2860907918993374,2.22162720843093,0.8390720121135631
60.0,1.3459240762292612,2.2018535205570453,5.371265209041053,1.2457292860679274,0.09033220282768359,2.604186357306472,2.8876055419531563,0.6050833381381824
70.0,2.804287148341166,2.008504876101131,5.669316734361201,2.224774393784588,1.0971253815301665,2.9850183016072687,3.380678323562362,0.573156301129485
80.0,4.418364869300843,1.6067191267896128,6.994521094853965,2.4997121170596217,2.5951166621068467,2.8765201101671583,4.075037271606373,0.4750210468463206
90.0,5.345487143548376,1.387236414324695,7.2082019514009446,2.1619366011854915,3.5321528397819115,2.6794064953638426,4.210223188413982,0.4017384394046651
100.0,7.179321188540186,1.064302324783923,7.420087522146156,1.7942514394898912,4.057317183603138,2.2441240804202396,4.969581720702927,0.34151206163964354
110.0,8.354467034330337,0.9444101628975073,7.842007391471617,2.1382645884387292,4.674676443136557,2.053905769185603,5.310902220320349,0.29934412397482396
120.0,9.19450325860974,0.7582861162143303,8.009182189524378,1.7694225787604971,5.7890894487871485,1.8855156127263106,5.3046146520396,0.24958908991483464
130.0,10.040805035984707,0.6187790137511529,9.068052796590983,1.5569011413742515,6.05382092941521,1.5971668346749714,5.646004491871678,0.2394560647743172
140.0,12.227234519683108,0.5545791953081521,8.863968329578768,1.343421362341403,7.022688971618336,1.307092566911377,6.128097112350794,0.18364411305558684
150.0,12.528671729915864,0.4509960765140648,9.683203576338384,1.3100214530428962,6.56804501251109,1.1324563707025581,5.909064136633543,0.16988182212301373
160.0,12.878085536192765,0.4126323570752238,10.599026372748924,1.149739784494543,7.198280787249855,0.9940506788771784,5.584799503174734,0.14517938175358075
170.0,13.107898825894177,0.33171714547283054,9.7329984510206,1.1109426063342487,6.567707227781278,0.8194266923130881,6.474523867047735,0.12892691640671392
180.0,14.130779418626629,0.30771461749288415,11.262482330384692,1.067831763688752,7.180610810217643,0.6752512448504697,6.495897300901503,0.11443540600565247
190.0,13.228467495793371,0.24898960643118173,10.183622111350303,1.015686144609509,7.854703734825058,0.6407785186484273,6.513266622242155,0.10483533511441488
200.0,15.283750844679936,0.21597649388166545,11.328439180446342,0.963446159082207,7.1080400198247204,0.5359818409455556,6.32624839144982,0.08357228932800607
