time,P1,P2
0.0,0.0,0.0
10.0,0.011664810429732305,0.5937343880066047
20.0,0.023117199236466268,1.1661366926093704
30.0,0.03286841214854076,1.6649430939918548
40.0,0.0411707732003955,2.099615383370325
50.0,0.04823962289119871,2.478399614089434
60.0,0.05425878256958883,2.8084816020220984
70.0,0.059384503959751964,3.0961232198601105
80.0,0.0637486585455696,3.3467588091288314
90.0,0.06746385564226991,3.561969803574044
100.0,0.07062657739242134,3.6831111866591946
110.0,0.0733190953816491,3.5455419985638654
120.0,0.07561140283370246,3.223709662986612
130.0,0.07756303533903637,2.8709356419526784
140.0,0.07922464810038986,2.5400793410702196
150.0,0.08063935196680452,2.242826234078874
160.0,0.08184384335298707,1.9797683709921812
170.0,0.08286936197306652,1.7484665466002651
180.0,0.08374250578233429,1.5457309696972092
190.0,0.08448595231215818,1.3683425106925207
200.0,0.08512177651610658,1.213293174552465
210.0,0.08607640876650824,1.0778593921245807
220.0,0.10942973402147929,0.9596122145732905
230.0,0.33766238679364097,0.8564029420063117
240.0,0.780495944838937,0.766339691054361
250.0,1.2201702983216756,0.6877615059163446
260.0,1.6007377412100603,0.6192128944725998
270.0,1.9140538439582881,0.5594200202593292
280.0,2.1543266193051527,0.5072690157777285
290.0,2.314148651416681,0.46178652195871905
300.0,2.3898350569259668,0.4221223847387666
310.0,2.3869647764890485,0.38753436495918275
320.0,2.320290766374798,0.35737469266250177
330.0,2.2087536214636354,0.33107829125134913
340.0,2.0702880914184596,0.30815254121578944
350.0,1.919152954296135,0.28816845328352786
360.0,1.7654734820666207,0.27075322009010794
370.0,1.6158668594657886,0.25558420074461313
380.0,1.4743298178120905,0.242384594971502
390.0,1.343033165056631,0.2309214417235044
400.0,1.2229298499814134,0.22100739298874597
410.0,1.1141896211301079,0.2125095875528188
420.0,1.0164967963697478,0.20537354099325655
430.0,0.9292505637687276,0.1996815650215071
440.0,0.8516974158959179,0.19579475254229015
450.0,0.7830174286579329,0.1947011672544175
460.0,0.7223793259777295,0.1988717038801413
470.0,0.6689747474741712,0.21428782003801733
480.0,0.6220384789647943,0.2547246711812814
490.0,0.5808594721921769,0.3479690098699317
500.0,0.5447859434566548,0.5344095595312032
510.0,0.5132284610984069,0.8379893705261283
520.0,0.48568295840158043,1.2308160948033233
530.0,0.461916841154007,1.6539541537998188
540.0,0.44271638151317017,2.06212160890114
550.0,0.43128357558744723,2.4345925823116326
560.0,0.4349472843191491,2.7659099058366676
570.0,0.46834356180203013,3.057281135672791
580.0,0.5581152193898471,3.312233403118834
590.0,0.738441402959616,3.5348195083718204
600.0,1.0187151767893574,3.728953244396559
610.0,1.357321205057662,3.8981944079552577
620.0,1.6978023075763573,4.0457038413442845
630.0,2.008088157848306,4.174259393580097
640.0,2.279329713770496,4.28629122427094
650.0,2.5127858373494503,4.383920934890911
660.0,2.7124916235321512,4.468998978955955
670.0,2.8828893909999374,4.543138589557145
680.0,3.028123200496426,4.60774588393079
690.0,3.151850808805733,4.664046315009123
700.0,3.2572335882931207,4.713107815004753
710.0,3.3469813286837966,4.755861021600928
720.0,3.423408852067139,4.7931169439745345
730.0,3.488490583211041,4.825582398491664
740.0,3.5439094018774187,4.853873432287874
750.0,3.591099156063327,4.878526953052073
760.0,3.6312812541753874,4.900010821197702
770.0,3.6654960053092207,4.918732667615302
780.0,3.6946293883134844,4.935047629518091
790.0,3.719435918668756,4.949265132852589
800.0,3.7405581397752004,4.961654805476885
810.0,3.758543183588613,4.972451604347284
820.0,3.773856960104397,4.981860290996404
830.0,3.786896197359043,4.99005931165665
840.0,3.7979987113944875,4.997204178834247
850.0,3.807452152699884,5.0034304174761175
860.0,3.815501452103374,5.008856131963801
870.0,3.822355163959229,5.0135842442462275
880.0,3.82819085175852,5.017704439777404
890.0,3.8331597301926505,5.021294881200956
900.0,3.837390572296108,5.024423687766541
910.0,3.840993012488616,5.0271502172607105
920.0,3.8440603620695195,5.029526182901649
930.0,3.8466721064334317,5.031596659941533
940.0,3.8488959417930895,5.0334009363086265
950.0,3.850789539852573,5.034973262512887
960.0,3.852401909393554,5.0363434431915035
970.0,3.853774775380895,5.037537448734794
980.0,3.8549437024420463,5.038577926312259
990.0,3.8559389856505213,5.039484616447665
1000.0,3.8567864261370195,5.040274724464738
1010.0,3.8575079836976283,5.040963239727105
1020.0,3.8581223547414485,5.041563223654358
1030.0,3.8586454706966444,5.042086064491029
1040.0,3.8590909241742866,5.042541701181257
1050.0,3.8594702422081073,5.0429387700920625
1060.0,3.8597931901235762,5.043284770393963
1070.0,3.8600681256807032,5.043586259939444
1080.0,3.8603021792562826,5.043848960778645
1090.0,3.8605014373739244,5.04407786739013
1100.0,3.8606711158307836,5.044277350001015
1110.0,3.8608156094930925,5.044451193003327
1120.0,3.860938651269397,5.044602689126199
1130.0,3.8610434167649923,5.0447347060778895
1140.0,3.8611325938526266,5.044849733973453
1150.0,3.86120850997808,5.044949963563192
1160.0,3.8612731027900806,5.045037279537729
1170.0,3.8613280964619,5.045113365519427
1180.0,3.861374909521303,5.045179660436335
1190.0,3.8614147849781038,5.045237439349937
1200.0,3.861448765591798,5.045287803308864
