time,mRNA1,mRNA2,mRNA3,mRNA4,mRNA5,mRNA6,mRNA7,mRNA8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.722313496754082,0.0043191580553843005,0.020851254287575328,0.04238972757553049,0.018491962251377534,0.027848858942633333,0.015057076977504885,0.00791035630933135
40.0,0.7655202494423987,0.004477351000795927,0.020047539643136155,0.042515180042578454,0.01811019767406351,0.024742033165680823,0.015341044320469137,0.008326552155598077
60.0,0.7336255967230726,0.004418165182363285,0.02044025376552889,0.044352336146153436,0.018521679111819494,0.02439502229992357,0.014374602831180102,0.007276511491748712
80.0,0.6838711855720396,0.0045007275895433616,0.019807549587454426,0.04568645413131422,0.01817362055272703,0.022204646454313713,0.014092900956345846,0.0072882196024153575
100.0,0.7389109520158408,0.004947014596190577,0.01970238449492314,0.0458102023907831,0.018585920952046007,0.022042659970661817,0.013942952274807137,0.007689160992655699
120.0,0.6524885559943849,0.00455905388074014,0.01894195182363297,0.04043110362240818,0.02052771343766052,0.02539829752589154,0.015627462989811488,0.007975422299663283
140.0,0.764715943799151,0.0051044388885485015,0.020859806791275658,0.040376746041890045,0.017997423569538495,0.022179876652609315,0.013565150886700947,0.00765487110335181
160.0,0.7007571851720206,0.004360328470290054,0.02142426503534039,0.04303581280883916,0.017071488009287424,0.024181430547591833,0.014833378192484129,0.00726201483422793
180.0,0.773948244830495,0.004993590923378456,0.019205338438081858,0.04339117539371093,0.018828295596147963,0.02323316576162942,0.015561218542522947,0.007663929696233071
200.0,0.7167708223257405,0.0051092778736283985,0.019587104721289297,0.04107196873330296,0.019222152712052496,0.021592636064645686,0.015127397872767973,0.007482667146151285
