time,P1,P2,P3,P4,P5,P6,P7,P8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.02989734679968803,0.8028276236518262,0.9545114832726874,0.02961647276101608,0.012847857027336023,0.032185178957400036,0.027815031267968682,0.4520950492064716
20.0,0.06151690391362951,1.5830631874738417,1.9746578559461556,0.057310942993544264,0.025838743451367392,0.10983936926377127,0.13048101484466113,0.8413095451619005
30.0,0.08800402927217146,2.2878317827038,3.1242769845595193,0.08187179022453125,0.03523884779840506,0.4915680400563909,0.5998389191207745,0.9048382158182674
40.0,0.1384849262675772,2.587583545690867,3.9109270336486968,0.13235372476904655,0.04538550661997544,1.2219428198425433,1.3340778139252962,0.8714000118361422
50.0,0.4254507098857448,2.8521449974079336,4.900844872914571,0.3749479082717591,0.05696124504898851,2.268006785836997,2.1978460800904114,0.7323263197599814
60.0,1.2815470039650592,2.392618434467279,5.323454829418856,1.279177118743626,0.07364739237042324,2.489432116090846,2.93054442592388,0.6297141390611452
70.0,2.8572866553103564,1.973420217808074,6.1433279447287905,2.1606741795561217,0.989671782160867,2.9436894236191655,3.4074362617791776,0.5506096190493576
80.0,4.095920025905073,1.6768054475258451,6.2526548701806925,2.3158920298486882,2.0888040476606085,2.9140090324302106,4.048949683239066,0.4530380732126173
90.0,5.298616101528233,1.2921826198783537,7.000480960728613,2.0724221287642415,3.463630989081429,2.7422288385211933,4.741707564112767,0.43928610767772114
100.0,6.986984938321288,1.085816626409776,7.513123073941786,1.7600381523207453,3.7904141088587533,2.3951886291907307,4.37053332104009,0.34803362140128463
110.0,7.93934837383105,0.9342475025558552,8.028037254559612,1.6374789483654888,4.386521981226034,2.0616437314727043,5.246465485592357,0.28486879885668775
120.0,8.449528549774726,0.7907342055148924,8.505906815263463,1.605520451497918,5.37963589869964,1.7369419419725265,5.05799093716159,0.24132332595699738
130.0,10.524226512410912,0.627490575276692,7.90408169203654,1.470244521216569,5.8953553956903155,1.4472233521469071,5.8729266712942545,0.20854171749829895
140.0,12.154961670485616,0.567613637028843,9.657550211802082,1.3519074171530836,5.976108011642574,1.4316675586000756,5.350106693796479,0.20506310856253404
150.0,12.453340643004212,0.44444536438250576,9.88585284971774,1.1762829529578573,6.015589965758675,1.214803096466543,5.775323489936984,0.1672472446913501
160.0,12.41983684241312,0.3668388463098948,10.625281368540252,1.138699878494493,6.406465527263838,1.0170102635026534,6.014671088487287,0.15617748876861187
170.0,13.300006415706468,0.3215978827417561,10.39432719611325,1.179583094790462,5.983175962720712,0.841233844064871,5.97621645365986,0.1310631500366112
180.0,14.54630902713033,0.2875601788553191,11.134086623694797,1.1052228461126616,6.216239126680439,0.7112139108774754,5.945099046939791,0.10698944929327599
190.0,15.180877900205639,0.25737489760244814,10.02055198180924,0.9328817054677064,6.867735894957535,0.6520404129704858,6.631194528459574,0.10299447824789705
200.0,15.316003619781227,0.2384036334093128,10.778785063796377,0.8587777759343231,6.6531948801718706,0.5498163054817207,6.372456207534035,0.08644241845958364
