GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
caiF	0.1817048418015779	0.6799406355510673	0.2913080065285769	0.19177056714056706	0.39391107139381926	0.23041679613011035	0.09209588226234773	0.2104291089752125	0.6054889100340903	0.9246850953965885
fixABCX	0.3744008983933294	0.9399873414598446	0.6025841713480614	0.470227700721101	0.6656101069588979	0.567704166716286	0.2220714328512229	0.3329807183868744	0.784251363667936	0.8220792524895685
caiTABCDE	0.37273363618189304	0.954687955142097	0.5519433221005754	0.39437904945513547	0.9506187039558257	0.5735000054486873	0.17656840052486655	0.4090925001466242	0.7634961902585786	0.8696659616104092
hns	0.5522365897985939	0.259545830834938	0.6276407161281484	0.6666758638066125	0.44548393316747614	0.7460927245704616	0.8124166003935174	0.8187690180348237	0.26245510454517723	0.20330084062835738
nhaA	0.7778694803627699	0.30311108695770816	0.5987488208198828	0.8533997497567739	0.4184184726040721	0.9536431909445497	0.6518494957593303	0.8109512765221162	0.7179210943871227	0.46410544180886043
fnr	0.1914172261560124	0.8968689592271104	0.38470803441834933	0.26985967259647337	0.6069277953915241	0.39558761759127603	0.10860793481640799	0.36231246332210465	0.8311600437073845	0.9544486787864437
dcuB_fumB	0.01948217861164644	0.8894964338687968	0.268538219811179	0.061028656718124914	0.5123293080883734	0.11296394366252173	0.003413053778874172	0.09215555370221998	0.860888214451379	0.8574657150455371
cspA	0.2731862755533914	0.09259016416150548	0.5530154748562028	0.6608173475932392	0.39927017006658394	0.575436110492519	0.9056565745242068	0.6162441370443378	0.16372137289324348	0.06114483446427087
fdnGHI	0.41309497206917345	0.9702715040412434	0.6573788974619719	0.6589101135238099	0.9598509235629515	0.7001025367446665	0.3187943527222923	0.711737350685244	0.9587860129054712	0.977227361415697
nlpD_rpoS	0.2662798903836306	0.0668795998308857	0.2853157398734241	0.9181731059079892	0.06995068680354748	0.9552838810702003	0.20299641224553414	0.47210542314539755	0.9610669056369617	0.3643085551914777
bgr_rob	0.34699376251824743	0.3332657044711322	0.39334191420141484	0.30996786981027313	0.3489184877457451	0.265560760462703	0.3314907864789825	0.2734933276824167	0.33127976883819166	0.2847206281904578
bgr_ybaO	0.6047455288689846	0.6092945418115213	0.6439430937606883	0.6012253244737559	0.45900466862332306	0.5942217911715498	0.5521946457272301	0.5924072528630827	0.5168483184814227	0.6304754567598622
bgr_marRAB	0.21876760683391927	0.19922418870179343	0.24041646125567812	0.21932224814817022	0.20197720414763282	0.24117191304707533	0.2263640196610469	0.158267925133678	0.24312570347813975	0.1645462392989692
bgr_mdlA	0.45579185047835963	0.46198275819213175	0.6285482604629176	0.43038629320212507	0.5089896489088191	0.4985888239658669	0.542753986555046	0.5655459932912551	0.531245214432709	0.5506924717974621
bgr_fumC	0.11066494961720454	0.11812289412263124	0.13642081112668505	0.1376492344171794	0.12599646059065234	0.11927561771971969	0.10379831933449081	0.1105691275210787	0.14898030692520353	0.11396796392187585
bgr_arcA	0.7950587536446851	0.9471199584871309	0.8299006654174822	0.9523257129480096	0.9458575444614095	0.7796049125020941	0.7698435968071039	0.9246391401850129	0.8377890195197809	0.8635214759312033
