GENE	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
caiF	3796.862213303967	14207.88175382189	6087.104512212587	4007.193274436827	8231.074348643393	4814.7359083162455	1924.4141867427259	4397.07783527136	12652.155772456026	19322.00519868697
fixABCX	1454.7098221395581	3652.2583791237225	2341.3007727480103	1827.0384975477762	2586.183859236493	2205.776831561279	862.843801848727	1293.7744639479813	3047.156581754654	3194.1343311558353
caiTABCDE	79.67938886520604	204.08395014174164	117.98910085953182	84.30653579783524	203.21406501148502	122.59727996762854	37.74508356917572	87.45183486771596	163.2128252869278	185.90877133550038
hns	3719.216118757471	1747.995434257006	4227.049622089774	4489.944463043305	3000.255787991562	5024.803025678116	5471.4826419446545	5514.265055354173	1767.5888800316611	1369.195336545329
nhaA	12.037003429709163	4.69043880162422	9.265232525104466	13.205783198930195	6.474742507496301	14.756982565719053	10.086929509626746	12.548921822040588	11.109342754221718	7.181717416390509
fnr	341.3353188302562	1599.2972957263291	686.0116104583092	481.21393896947626	1082.2740288695973	705.412090058011	193.66973810308704	646.0758139052243	1482.125115984075	1701.973488087005
dcuB_fumB	47.93034734390625	2188.3524366731167	660.6617466780484	150.14361446635675	1260.4402300500033	277.91558454583696	8.39684597835878	226.72247219707242	2117.970067180425	2109.5499829292594
cspA	285.5577972585517	96.78320505745835	578.0593499067118	690.7431414214084	417.3515307249688	601.4953271075201	946.6701647803453	644.1513871493372	171.13566379875988	63.91384123520332
fdnGHI	1011.0328110200672	2374.6992641179395	1608.9075867400204	1612.6551745441634	2349.195325591028	1713.4719219209314	780.2359562879657	1741.9476464864383	2346.589000924028	2391.723436547641
nlpD_rpoS	51.0790033188224	12.829144915155524	54.730545378062864	176.12808483719715	13.418254597614018	183.2468402375531	38.939682601867624	90.56138051182047	184.35616595724176	69.88330163757958
bgr_rob	160.05359654816223	153.72142202111382	181.43204530301733	142.97511291690094	160.94139116669456	122.49198517476364	152.90272716573682	126.15094406832146	152.80539362262476	131.32962455179123
bgr_ybaO	680.0318741505812	685.147205557221	724.109245942476	676.0734303457009	516.1473547916187	668.1980089497256	620.938794755698	666.1575740432738	581.1921112105377	708.9649877498113
