M1,P19,P23,M2,P2,M3,P18,M4,P29,M5,M6,P4,M7,P1,M8,P12,M9,M10,P14,M11,P21,P13,M12,P26,M13,M14,P7,M15,P28,M16,M17,M18,P22,M19,P17,M20,M21,P30,M22,P8,M23,P20,M24,M25,M26,M27,M28,M29,P16,M30,P5,P3,P6,P9,P10,P11,P15,P24,P25,P27
8.48485,2.24937,1708.39665,50.33359,31.25300,1275.87992,40.93707,2235.49928,1.35381,450.45718,0.64377,2.36485,111.88239,1.15114,223.28917,46.52024,1801.42771,33.38884,0.65374,507.31811,0.68860,163.33774,1393.60070,28.21408,25.45162,27.33353,5.81129,58.57059,1.09787,1735.86309,0.62838,33.20100,36.54579,18.93384,39.75991,1441.39369,74.38516,2.68751,194.25688,0.54367,2343.80130,0.92713,3253.06874,1.00186,0.74255,0.53578,45.57100,41.94913,5.10527,23.24756,1.37552,50.41564,3443.69233,118.10368,1322.34195,40.80400,48.89909,41.63581,50.62084,30.57104,1431.16658
8.68687,2.25664,1711.92885,50.17385,31.25441,1277.19219,40.94847,2244.79835,1.35024,457.51817,0.63649,2.37127,110.97689,1.14844,224.77626,46.54495,1807.94397,33.39160,0.65371,510.69088,0.68835,163.20944,1395.83659,28.20827,25.40618,27.33068,5.83230,58.33674,1.09690,1740.05436,0.62831,33.20373,36.55159,18.83741,39.76958,1443.54108,74.60577,2.68586,197.32531,0.54204,2352.44464,0.92695,3276.10888,0.99963,0.74229,0.53563,45.59362,41.97162,5.12711,23.23214,1.39141,49.15345,3473.48219,118.27461,1323.82573,40.84093,48.72290,41.43211,50.51419,30.51841,1433.36120
8.88889,2.26328,1715.05668,50.03050,31.25556,1278.33236,40.95829,2253.28931,1.34700,464.34542,0.62987,2.37772,110.12268,1.14584,226.22556,46.56661,1813.86152,33.39390,0.65368,513.98069,0.68813,163.08332,1397.80994,28.20284,25.36558,27.32802,5.85250,58.11495,1.09606,1743.80193,0.62825,33.20602,36.55651,18.74802,39.77787,1445.42691,74.80947,2.68402,200.40611,0.54052,2360.26267,0.92679,3297.52745,0.99747,0.74206,0.53551,45.61342,41.99182,5.14763,23.21868,1.40718,47.97591,3501.53084,118.46309,1325.11505,40.87430,48.56043,41.25447,50.40727,30.47177,1435.29255
9.09091,2.26935,1717.82501,49.90185,31.25651,1279.32269,40.96675,2261.04038,1.34405,470.94332,0.62384,2.38416,109.31756,1.14335,227.63551,46.58560,1819.23456,33.39582,0.65366,517.18783,0.68795,162.95809,1399.55081,28.19779,25.32931,27.32554,5.87189,57.90443,1.09534,1747.15344,0.62820,33.20791,36.56067,18.66502,39.78497,1447.08242,74.99756,2.68199,203.49803,0.53908,2367.33050,0.92665,3317.43108,0.99537,0.74186,0.53541,45.63075,42.01002,5.16691,23.20695,1.42276,46.87826,3527.93514,118.66721,1326.23490,40.90445,48.41070,41.09961,50.30050,30.43046,1436.99167
9.29293,2.27487,1720.27391,49.78639,31.25729,1280.18256,40.97404,2268.11431,1.34137,477.31643,0.61834,2.39057,108.55931,1.14096,229.00489,46.60225,1824.11256,33.39743,0.65364,520.31263,0.68778,162.83263,1401.08588,28.19310,25.29695,27.32325,5.89050,57.70444,1.09471,1750.15160,0.62816,33.20950,36.56419,18.58785,39.79105,1448.53520,75.17123,2.67979,206.59959,0.53772,2373.71690,0.92652,3335.92039,0.99334,0.74168,0.53531,45.64591,42.02647,5.18503,23.19674,1.43813,45.85585,3552.78726,118.88504,1327.20714,40.93171,48.27276,40.96465,50.19424,30.39385,1438.48598
9.49495,2.27990,1722.43922,49.68276,31.25793,1280.92892,40.98031,2274.56881,1.33892,483.46949,0.61333,2.39691,107.84568,1.13866,230.33281,46.61684,1828.54067,33.39876,0.65362,523.35556,0.68764,162.70599,1402.43888,28.18878,25.26807,27.32112,5.90834,57.51433,1.09417,1752.83470,0.62812,33.21081,36.56718,18.51598,39.79626,1449.80963,75.33158,2.67743,209.70904,0.53644,2379.48480,0.92640,3353.09015,0.99137,0.74152,0.53524,45.65918,42.04137,5.20203,23.18785,1.45323,44.90419,3576.17479,119.11473,1328.05089,40.95636,48.14576,40.84707,50.08879,30.36141,1439.79979
9.69697,2.28448,1724.35291,49.58975,31.25845,1281.57660,40.98572,2280.45689,1.33668,489.40735,0.60875,2.40317,107.17449,1.13646,231.61863,46.62963,1832.56003,33.39988,0.65360,526.31718,0.68752,162.57740,1403.63092,28.18481,25.24232,27.31917,5.92545,57.33349,1.09371,1755.23698,0.62809,33.21191,36.56971,18.44894,39.80072,1450.92727,75.47964,2.67491,212.82447,0.53522,2384.69171,0.92630,3369.02951,0.98946,0.74138,0.53517,45.67080,42.05493,5.21799,23.18013,1.46803,44.01895,3598.18089,119.35450,1328.78287,40.97866,48.02887,40.74466,49.98439,30.33267,1440.95459
9.89899,2.28863,1726.04349,49.50627,31.25888,1282.13848,40.99038,2285.82723,1.33464,495.13498,0.60456,2.40931,106.54356,1.13435,232.86201,46.64085,1836.20812,33.40081,0.65359,529.19817,0.68742,162.44622,1404.68070,28.18117,25.21938,27.31738,5.94185,57.16136,1.09331,1757.38908,0.62807,33.21283,36.57186,18.38631,39.80455,1451.90711,75.61635,2.67226,215.94379,0.53407,2389.39012,0.92620,3383.82231,0.98761,0.74125,0.53511,45.68096,42.06729,5.23297,23.17342,1.48248,43.19595,3618.88446,119.60261,1329.41767,40.99882,47.92133,40.65547,49.88126,30.30719,1441.96937
10.10101,2.29240,1727.53635,49.43132,31.25924,1282.62582,40.99439,2290.72448,1.33276,500.65745,0.60073,2.41533,105.95076,1.13233,234.06281,46.65068,1839.51909,33.40159,0.65358,531.99930,0.68733,162.31195,1405.60479,28.17785,25.19893,27.31574,5.95756,56.99745,1.09296,1759.31835,0.62805,33.21359,36.57368,18.32770,39.80783,1452.76588,75.74258,2.66949,219.06474,0.53297,2393.62791,0.92611,3397.54722,0.98580,0.74114,0.53505,45.68985,42.07860,5.24702,23.16760,1.49657,42.43121,3638.36028,119.85745,1329.96799,41.01707,47.82242,40.57781,49.77956,30.28461,1442.86089
10.30303,2.29581,1728.85412,49.36403,31.25953,1283.04841,40.99785,2295.18959,1.33103,505.97989,0.59723,2.42121,105.39405,1.13039,235.22109,46.65930,1842.52399,33.40224,0.65357,534.72147,0.68725,162.17426,1406.41793,28.17481,25.18072,27.31424,5.97261,56.84127,1.09265,1761.04922,0.62803,33.21423,36.57522,18.27277,39.81063,1453.51837,75.85914,2.66662,222.18499,0.53193,2397.44874,0.92603,3410.27802,0.98405,0.74103,0.53501,45.69764,42.08899,5.26019,23.16255,1.51025,41.72093,3656.67918,120.11747,1330.44495,41.03359,47.73148,40.51019,49.67943,30.26458,1443.64396
10.50505,2.29890,1730.01687,49.30360,31.25977,1283.41476,41.00083,2299.26008,1.32944,511.10747,0.59401,2.42693,104.87142,1.12853,236.33713,46.66685,1845.25106,33.40279,0.65356,537.36565,0.68718,162.03288,1407.13313,28.17206,25.16450,27.31287,5.98703,56.69240,1.09239,1762.60344,0.62801,33.21476,36.57652,18.22120,39.81304,1454.17755,75.96676,2.66365,225.30209,0.53094,2400.89229,0.92596,3422.08381,0.98236,0.74094,0.53497,45.70445,42.09855,5.27255,23.15817,1.52352,41.06150,3673.90817,120.38124,1330.85820,41.04854,47.64790,40.45132,49.58099,30.24682,1444.33162
10.70707,2.30170,1731.04248,49.24934,31.25997,1283.73230,41.00340,2302.97029,1.32798,516.04541,0.59107,2.43250,104.38095,1.12675,237.41134,46.67348,1847.72598,33.40324,0.65356,539.93293,0.68712,161.88770,1407.76193,28.16956,25.15007,27.31162,6.00084,56.55046,1.09216,1764.00040,0.62800,33.21520,36.57763,18.17272,39.81510,1454.75485,76.06612,2.66061,228.41355,0.53000,2403.99468,0.92589,3433.02929,0.98071,0.74086,0.53493,45.71041,42.10738,5.28413,23.15438,1.53635,40.44950,3690.11064,120.64743,1331.21614,41.06207,47.57109,40.40007,49.48432,30.23107,1444.93538
10.90909,2.30423,1731.94681,49.20061,31.26013,1284.00747,41.00561,2306.35167,1.32663,520.79892,0.58836,2.43789,103.92081,1.12504,238.44428,46.67928,1849.97208,33.40362,0.65355,542.42447,0.68706,161.73868,1408.31453,28.16729,25.13722,27.31049,6.01407,56.41507,1.09196,1765.25737,0.62799,33.21557,36.57857,18.12707,39.81687,1455.26034,76.15787,2.65750,231.51684,0.52910,2406.78872,0.92583,3443.17491,0.97910,0.74079,0.53490,45.71563,42.11555,5.29498,23.15111,1.54872,39.88171,3705.34646,120.91480,1331.52610,41.07432,47.50053,40.35544,49.38950,30.21709,1445.46538
11.11111,2.30652,1732.74393,49.15683,31.26026,1284.24588,41.00752,2309.43298,1.32537,525.37322,0.58587,2.44311,103.48924,1.12342,239.43663,46.68437,1852.01054,33.40394,0.65354,544.84152,0.68702,161.58587,1408.79997,28.16524,25.12579,27.30946,6.02674,56.28592,1.09179,1766.38969,0.62798,33.21588,36.57936,18.08402,39.81838,1455.70284,76.24259,2.65435,234.60941,0.52824,2409.30420,0.92578,3452.57721,0.97755,0.74073,0.53488,45.72020,42.12314,5.30515,23.14827,1.56062,39.35507,3719.67222,121.18222,1331.79445,41.08542,47.43572,40.31659,49.29658,30.20468,1445.93055
11.31313,2.30859,1733.44631,49.11750,31.26037,1284.45241,41.00916,2312.24054,1.32421,529.77352,0.58358,2.44814,103.08454,1.12186,240.38917,46.68884,1853.86060,33.40421,0.65354,547.18537,0.68698,161.42937,1409.22622,28.16339,25.11562,27.30852,6.03888,56.16268,1.09163,1767.41102,0.62798,33.21614,36.58003,18.04337,39.81968,1456.09013,76.32081,2.65116,237.68872,0.52743,2411.56815,0.92572,3461.28893,0.97604,0.74067,0.53485,45.72420,42.13021,5.31468,23.14582,1.57205,38.86672,3733.14134,121.44868,1332.02670,41.09547,47.37621,40.28276,49.20561,30.19366,1446.33876
11.51515,2.31045,1734.06504,49.08216,31.26046,1284.63129,41.01057,2314.79838,1.32314,534.00498,0.58147,2.45300,102.70512,1.12037,241.30278,46.69275,1855.53974,33.40444,0.65354,549.45738,0.68694,161.26937,1409.60033,28.16172,25.10658,27.30767,6.05050,56.04508,1.09150,1768.33349,0.62797,33.21635,36.58060,18.00494,39.82079,1456.42902,76.39303,2.64794,240.75229,0.52664,2413.60507,0.92568,3469.35931,0.97457,0.74062,0.53483,45.72770,42.13681,5.32360,23.14370,1.58301,38.41396,3745.80423,121.71324,1332.22768,41.10458,47.32157,40.25331,49.11662,30.18388,1446.69693
11.71717,2.31214,1734.60983,49.05040,31.26054,1284.78616,41.01179,2317.12845,1.32214,538.07276,0.57952,2.45767,102.34946,1.11895,242.17839,46.69618,1857.06375,33.40463,0.65353,551.65897,0.68691,161.10609,1409.92849,28.16022,25.09853,27.30691,6.06164,55.93285,1.09138,1769.16780,0.62797,33.21653,36.58109,17.96856,39.82175,1456.72547,76.45971,2.64471,243.79765,0.52590,2415.43710,0.92563,3476.83425,0.97315,0.74057,0.53481,45.73076,42.14298,5.33196,23.14188,1.59348,37.99427,3757.70845,121.97506,1332.40151,41.11283,47.27142,40.22766,49.02963,30.17519,1447.01109
11.91919,2.31365,1735.08948,49.02185,31.26060,1284.92026,41.01285,2319.25089,1.32121,541.98192,0.57772,2.46216,102.01611,1.11759,243.01699,46.69919,1858.44710,33.40479,0.65353,553.79156,0.68688,160.93979,1410.21627,28.15887,25.09138,27.30621,6.07230,55.82574,1.09128,1769.92363,0.62796,33.21668,36.58150,17.93408,39.82256,1456.98480,76.52129,2.64147,246.82245,0.52518,2417.08447,0.92559,3483.75658,0.97177,0.74053,0.53480,45.73344,42.14876,5.33979,23.14030,1.60348,37.60528,3768.89887,122.23341,1332.55187,41.12030,47.22540,40.20531,48.94466,30.16747,1447.28668
12.12121,2.31503,1735.51148,48.99618,31.26065,1285.03626,41.01375,2321.18390,1.32034,545.73751,0.57606,2.46647,101.70370,1.11630,243.81964,46.70183,1859.70270,33.40492,0.65353,555.85664,0.68686,160.77077,1410.46841,28.15765,25.08502,27.30558,6.08251,55.72351,1.09119,1770.60929,0.62796,33.21680,36.58184,17.90136,39.82326,1457.21148,76.57814,2.63825,249.82436,0.52450,2418.56519,0.92556,3490.16608,0.97043,0.74049,0.53478,45.73579,42.15420,5.34712,23.13894,1.61300,37.24478,3779.41772,122.48762,1332.68180,41.12708,47.18317,40.18586,48.86170,30.16061,1447.52827
12.32323,2.31626,1735.88285,48.97310,31.26069,1285.13670,41.01453,2322.94441,1.31953,549.34446,0.57452,2.47060,101.41095,1.11506,244.58738,46.70414,1860.84258,33.40503,0.65352,557.85568,0.68684,160.59935,1410.68934,28.15656,25.07936,27.30502,6.09229,55.62595,1.09111,1771.23255,0.62796,33.21691,36.58214,17.87029,39.82386,1457.40975,76.63063,2.63503,252.80121,0.52384,2419.89595,0.92552,3496.09997,0.96913,0.74046,0.53477,45.73784,42.15931,5.35399,23.13777,1.62206,36.91071,3789.30493,122.73715,1332.79419,41.13322,47.14442,40.16890,48.78077,30.15451,1447.74019
12.52525,2.31738,1736.20946,48.95234,31.26073,1285.22360,41.01520,2324.54759,1.31877,552.80766,0.57310,2.47455,101.13663,1.11389,245.32132,46.70617,1861.87737,33.40513,0.65352,559.79020,0.68682,160.42586,1410.88275,28.15558,25.07433,27.30450,6.10166,55.53284,1.09104,1771.79994,0.62795,33.21699,36.58239,17.84075,39.82437,1457.58305,76.67909,2.63184,255.75090,0.52321,2421.09150,0.92549,3501.59270,0.96787,0.74043,0.53476,45.73964,42.16413,5.36041,23.13676,1.63067,36.60113,3798.59800,122.98147,1332.89130,41.13878,47.10888,40.15412,48.70185,30.14909,1447.92596
12.72727,2.31838,1736.49672,48.93367,31.26076,1285.29881,41.01578,2326.00748,1.31806,556.13190,0.57178,2.47833,100.87959,1.11276,246.02257,46.70794,1862.81689,33.40521,0.65352,561.66171,0.68680,160.25064,1411.05203,28.15470,25.06986,27.30404,6.11063,55.44400,1.09098,1772.31750,0.62795,33.21707,36.58260,17.81264,39.82481,1457.73457,76.72384,2.62868,258.67147,0.52261,2422.16540,0.92546,3506.67645,0.96665,0.74040,0.53475,45.74121,42.16869,5.36642,23.13589,1.63882,36.31425,3807.33232,123.22019,1332.97526,41.14382,47.07628,40.14124,48.62494,30.14427,1448.08886
12.92929,2.31929,1736.74938,48.91686,31.26078,1285.36396,41.01628,2327.33686,1.31740,559.32190,0.57056,2.48193,100.63875,1.11169,246.69224,46.70950,1863.67004,33.40527,0.65352,563.47173,0.68679,160.07404,1411.20018,28.15392,25.06588,27.30362,6.11921,55.35923,1.09092,1772.79055,0.62795,33.21713,36.58278,17.78586,39.82519,1457.86708,76.76516,2.62555,261.56106,0.52203,2423.12985,0.92544,3511.38112,0.96546,0.74037,0.53474,45.74259,42.17300,5.37205,23.13514,1.64655,36.04841,3815.54123,123.45296,1333.04789,41.14840,47.04639,40.12999,48.55002,30.13997,1448.23175
13.13131,2.32011,1736.97146,48.90173,31.26080,1285.42032,41.01672,2328.54723,1.31678,562.38227,0.56942,2.48537,100.41309,1.11068,247.33145,46.71087,1864.44474,33.40533,0.65352,565.22179,0.68678,159.89641,1411.32969,28.15322,25.06234,27.30324,6.12743,55.27836,1.09088,1773.22365,0.62795,33.21718,36.58293,17.76034,39.82552,1457.98289,76.80331,2.62246,264.41793,0.52148,2423.99572,0.92541,3515.73441,0.96431,0.74035,0.53473,45.74380,42.17708,5.37732,23.13450,1.65385,35.80204,3823.25606,123.67947,1333.11065,41.15254,47.01897,40.12017,48.47709,30.13615,1448.35701
13.33333,2.32084,1737.16675,48.88811,31.26082,1285.46915,41.01709,2329.64932,1.31619,565.31752,0.56836,2.48865,100.20164,1.10971,247.94132,46.71207,1865.14835,33.40538,0.65352,566.91338,0.68677,159.71809,1411.44293,28.15259,25.05919,27.30290,6.13530,55.20122,1.09083,1773.62104,0.62795,33.21722,36.58306,17.73600,39.82579,1458.08418,76.83854,2.61942,267.24051,0.52095,2424.77304,0.92539,3519.76222,0.96320,0.74033,0.53472,45.74486,42.18095,5.38225,23.13395,1.66075,35.57370,3830.50639,123.89950,1333.16495,41.15631,46.99383,40.11159,48.40611,30.13275,1448.46689
13.53535,2.32151,1737.33835,48.87584,31.26083,1285.51140,41.01741,2330.65264,1.31564,568.13209,0.56737,2.49177,100.00351,1.10879,248.52295,46.71312,1865.78738,33.40542,0.65352,568.54803,0.68676,159.53942,1411.54182,28.15202,25.05639,27.30260,6.14283,55.12765,1.09080,1773.98629,0.62795,33.21726,36.58317,17.71277,39.82603,1458.17269,76.87107,2.61642,270.02732,0.52044,2425.47060,0.92537,3523.48839,0.96213,0.74032,0.53472,45.74578,42.18463,5.38686,23.13347,1.66725,35.36205,3837.31995,124.11286,1333.21187,41.15972,46.97079,40.10410,48.33707,30.12971,1448.56321
13.73737,2.32210,1737.48915,48.86479,31.26084,1285.54797,41.01769,2331.56609,1.31513,570.83028,0.56646,2.49474,99.81784,1.10791,249.07742,46.71404,1866.36785,33.40545,0.65352,570.12722,0.68675,159.36072,1411.62817,28.15152,25.05390,27.30232,6.15003,55.05749,1.09076,1774.32271,0.62795,33.21729,36.58326,17.69058,39.82624,1458.25005,76.90110,2.61348,272.77703,0.51996,2426.09653,0.92535,3526.93526,0.96109,0.74030,0.53471,45.74659,42.18812,5.39118,23.13306,1.67339,35.16584,3843.72295,124.31944,1333.25244,41.16281,46.94966,40.09754,48.26993,30.12701,1448.64767
13.93939,2.32264,1737.62159,48.85484,31.26085,1285.57961,41.01793,2332.39761,1.31464,573.41633,0.56560,2.49756,99.64384,1.10707,249.60583,46.71485,1866.89510,33.40548,0.65351,571.65244,0.68674,159.18231,1411.70347,28.15107,25.05168,27.30207,6.15692,54.99061,1.09073,1774.63311,0.62794,33.21731,36.58334,17.66938,39.82641,1458.31764,76.92883,2.61060,275.48842,0.51949,2426.65799,0.92533,3530.12338,0.96008,0.74029,0.53471,45.74730,42.19144,5.39522,23.13271,1.67916,34.98391,3849.73995,124.51914,1333.28748,41.16562,46.93029,40.09182,48.20468,30.12461,1448.72170
14.14141,2.32313,1737.73790,48.84587,31.26086,1285.60697,41.01814,2333.15455,1.31418,575.89432,0.56480,2.50024,99.48076,1.10628,250.10921,46.71556,1867.37410,33.40551,0.65351,573.12514,0.68673,159.00450,1411.76910,28.15067,25.04971,27.30184,6.16351,54.92685,1.09071,1774.92008,0.62794,33.21733,36.58341,17.64911,39.82656,1458.37669,76.95444,2.60777,278.16043,0.51904,2427.16156,0.92532,3533.07197,0.95910,0.74027,0.53470,45.74793,42.19460,5.39900,23.13241,1.68459,34.81520,3855.39414,124.71193,1333.31775,41.16816,46.91254,40.08681,48.14129,30.12246,1448.78658
14.34343,2.32357,1737.84002,48.83778,31.26087,1285.63063,41.01831,2333.84354,1.31375,578.26826,0.56405,2.50279,99.32790,1.10553,250.58860,46.71619,1867.80928,33.40553,0.65351,574.54677,0.68673,158.82755,1411.82627,28.15031,25.04795,27.30164,6.16981,54.86609,1.09068,1775.18589,0.62794,33.21735,36.58346,17.62972,39.82669,1458.42825,76.97808,2.60500,280.79211,0.51861,2427.61310,0.92530,3535.79877,0.95816,0.74026,0.53470,45.74847,42.19761,5.40253,23.13215,1.68969,34.65871,3860.70728,124.89778,1333.34389,41.17047,46.89627,40.08242,48.07971,30.12055,1448.84343
14.54545,2.32396,1737.92966,48.83049,31.26087,1285.65108,41.01847,2334.47067,1.31335,580.54203,0.56336,2.50520,99.18461,1.10481,251.04501,46.71673,1868.20467,33.40555,0.65351,575.91877,0.68672,158.65175,1411.87601,28.14999,25.04639,27.30146,6.17584,54.80820,1.09066,1775.43256,0.62794,33.21737,36.58351,17.61118,39.82680,1458.47328,76.99990,2.60230,283.38263,0.51820,2428.01791,0.92529,3538.32025,0.95724,0.74025,0.53469,45.74895,42.20048,5.40584,23.13193,1.69448,34.51352,3865.69985,125.07672,1333.36646,41.17257,46.88136,40.07858,48.01993,30.11885,1448.89325
14.74747,2.32432,1738.00834,48.82392,31.26088,1285.66878,41.01860,2335.04149,1.31296,582.71943,0.56270,2.50749,99.05027,1.10413,251.47940,46.71721,1868.56397,33.40557,0.65351,577.24253,0.68672,158.47734,1411.91927,28.14970,25.04499,27.30129,6.18159,54.75305,1.09064,1775.66192,0.62794,33.21738,36.58355,17.59342,39.82690,1458.51262,77.02006,2.59965,285.93127,0.51780,2428.38078,0.92527,3540.65172,0.95636,0.74024,0.53469,45.74937,42.20322,5.40893,23.13174,1.69897,34.37879,3870.39113,125.24880,1333.38596,41.17447,46.86769,40.07521,47.96190,30.11733,1448.93692
14.94949,2.32464,1738.07738,48.81799,31.26088,1285.68407,41.01872,2335.56101,1.31260,584.80412,0.56209,2.50966,98.92431,1.10348,251.89273,46.71763,1868.89046,33.40558,0.65351,578.51944,0.68671,158.30454,1411.95685,28.14945,25.04375,27.30114,6.18710,54.70051,1.09062,1775.87553,0.62794,33.21739,36.58358,17.57642,39.82698,1458.54696,77.03867,2.59707,288.43745,0.51742,2428.70596,0.92526,3542.80731,0.95550,0.74024,0.53469,45.74973,42.20584,5.41183,23.13158,1.70319,34.25373,3874.79922,125.41410,1333.40279,41.17619,46.85517,40.07226,47.90560,30.11597,1448.97517
15.15152,2.32493,1738.13798,48.81264,31.26088,1285.69731,41.01882,2336.03388,1.31226,586.79966,0.56152,2.51171,98.80619,1.10287,252.28593,46.71800,1869.18722,33.40559,0.65351,579.75085,0.68671,158.13358,1411.98949,28.14922,25.04264,27.30101,6.19235,54.65049,1.09061,1776.07489,0.62794,33.21740,36.58361,17.56014,39.82705,1458.57696,77.05585,2.59456,290.90067,0.51705,2428.99739,0.92525,3544.80020,0.95468,0.74023,0.53468,45.75005,42.20833,5.41453,23.13144,1.70714,34.13761,3878.94119,125.57272,1333.41734,41.17776,46.84370,40.06966,47.85099,30.11476,1449.00871
15.35354,2.32519,1738.19113,48.80781,31.26089,1285.70875,41.01890,2336.46422,1.31193,588.70951,0.56098,2.51366,98.69541,1.10228,252.65988,46.71832,1869.45693,33.40560,0.65351,580.93811,0.68671,157.96465,1412.01779,28.14902,25.04165,27.30088,6.19737,54.60286,1.09060,1776.26122,0.62794,33.21741,36.58364,17.54454,39.82711,1458.60316,77.07172,2.59211,293.32055,0.51670,2429.25845,0.92524,3546.64250,0.95388,0.74022,0.53468,45.75034,42.21072,5.41707,23.13132,1.71084,34.02976,3882.83302,125.72477,1333.42991,41.17918,46.83318,40.06738,47.79803,30.11368,1449.03809
15.55556,2.32542,1738.23777,48.80345,31.26089,1285.71866,41.01897,2336.85590,1.31163,590.53702,0.56047,2.51550,98.59150,1.10173,253.01544,46.71861,1869.70212,33.40561,0.65351,582.08251,0.68670,157.79792,1412.04233,28.14884,25.04077,27.30077,6.20217,54.55752,1.09058,1776.43570,0.62794,33.21741,36.58366,17.52959,39.82716,1458.62604,77.08637,2.58972,295.69681,0.51637,2429.49234,0.92523,3548.34553,0.95310,0.74022,0.53468,45.75058,42.21300,5.41943,23.13122,1.71431,33.92957,3886.48982,125.87039,1333.44077,41.18047,46.82355,40.06537,47.74668,30.11272,1449.06386
15.75758,2.32563,1738.27868,48.79951,31.26089,1285.72723,41.01904,2337.21235,1.31134,592.28543,0.56000,2.51724,98.49401,1.10120,253.35345,46.71886,1869.92502,33.40562,0.65351,583.18535,0.68670,157.63355,1412.06356,28.14868,25.03998,27.30068,6.20674,54.51438,1.09057,1776.59933,0.62794,33.21742,36.58368,17.51526,39.82720,1458.64602,77.09989,2.58740,298.02924,0.51604,2429.70182,0.92522,3549.91969,0.95236,0.74021,0.53468,45.75080,42.21518,5.42165,23.13113,1.71755,33.83645,3889.92572,126.00971,1333.45016,41.18164,46.81472,40.06360,47.69692,30.11186,1449.08644
15.95960,2.32583,1738.31457,48.79595,31.26089,1285.73464,41.01909,2337.53675,1.31106,593.95787,0.55955,2.51888,98.40253,1.10070,253.67471,46.71908,1870.12766,33.40562,0.65351,584.24789,0.68670,157.47169,1412.08192,28.14853,25.03928,27.30059,6.21111,54.47332,1.09056,1776.75301,0.62794,33.21742,36.58369,17.50152,39.82724,1458.66347,77.11238,2.58514,300.31775,0.51573,2429.88941,0.92522,3551.37468,0.95164,0.74021,0.53467,45.75099,42.21726,5.42372,23.13105,1.72059,33.74987,3893.15404,126.14290,1333.45827,41.18270,46.80663,40.06205,47.64870,30.11109,1449.10623
16.16162,2.32600,1738.34603,48.79273,31.26089,1285.74104,41.01914,2337.83196,1.31080,595.55738,0.55913,2.52044,98.31668,1.10023,253.98000,46.71927,1870.31192,33.40563,0.65351,585.27136,0.68669,157.31245,1412.09777,28.14840,25.03865,27.30051,6.21528,54.43426,1.09055,1776.89757,0.62794,33.21742,36.58370,17.48835,39.82727,1458.67871,77.12391,2.58294,302.56230,0.51543,2430.05739,0.92521,3552.71945,0.95094,0.74020,0.53467,45.75115,42.21926,5.42566,23.13099,1.72343,33.66936,3896.18731,126.27012,1333.46527,41.18366,46.79922,40.06067,47.60198,30.11040,1449.12357
16.36364,2.32615,1738.37361,48.78983,31.26089,1285.74658,41.01918,2338.10061,1.31055,597.08690,0.55873,2.52191,98.23609,1.09978,254.27005,46.71944,1870.47945,33.40564,0.65351,586.25696,0.68669,157.15596,1412.11143,28.14829,25.03808,27.30043,6.21926,54.39710,1.09054,1777.03373,0.62794,33.21743,36.58371,17.47572,39.82730,1458.69200,77.13456,2.58081,304.76294,0.51515,2430.20776,0.92520,3553.96227,0.95026,0.74020,0.53467,45.75130,42.22117,5.42747,23.13093,1.72609,33.59445,3899.03726,126.39155,1333.47132,41.18454,46.79243,40.05945,47.55673,30.10979,1449.13877
16.56566,2.32630,1738.39779,48.78720,31.26089,1285.75137,41.01922,2338.34509,1.31032,598.54926,0.55836,2.52329,98.16044,1.09935,254.54558,46.71958,1870.63181,33.40564,0.65351,587.20588,0.68669,157.00229,1412.12319,28.14818,25.03758,27.30037,6.22305,54.36177,1.09054,1777.16216,0.62794,33.21743,36.58372,17.46361,39.82733,1458.70361,77.14439,2.57873,306.91978,0.51487,2430.34237,0.92520,3555.11084,0.94961,0.74019,0.53467,45.75143,42.22300,5.42916,23.13089,1.72857,33.52472,3901.71499,126.50736,1333.47654,41.18533,46.78621,40.05838,47.51291,30.10925,1449.15209
16.76768,2.32642,1738.41897,48.78482,31.26090,1285.75550,41.01925,2338.56755,1.31010,599.94719,0.55801,2.52460,98.08940,1.09895,254.80728,46.71971,1870.77035,33.40564,0.65351,588.11929,0.68669,156.85154,1412.13329,28.14809,25.03713,27.30031,6.22666,54.32817,1.09053,1777.28345,0.62794,33.21743,36.58373,17.45199,39.82735,1458.71373,77.15347,2.57672,309.03301,0.51461,2430.46284,0.92519,3556.17222,0.94898,0.74019,0.53467,45.75154,42.22476,5.43075,23.13085,1.73090,33.45980,3904.23085,126.61774,1333.48105,41.18605,46.78051,40.05742,47.47048,30.10876,1449.16375
16.96970,2.32654,1738.43754,48.78267,31.26090,1285.75908,41.01928,2338.76999,1.30989,601.28334,0.55768,2.52584,98.02268,1.09857,255.05580,46.71983,1870.89637,33.40565,0.65351,588.99830,0.68669,156.70376,1412.14196,28.14801,25.03672,27.30025,6.23011,54.29622,1.09052,1777.39814,0.62794,33.21743,36.58374,17.44084,39.82736,1458.72258,77.16185,2.57477,311.10286,0.51436,2430.57066,0.92518,3557.15304,0.94837,0.74019,0.53466,45.75163,42.22644,5.43223,23.13082,1.73307,33.39933,3906.59464,126.72287,1333.48495,41.18671,46.77529,40.05658,47.42941,30.10832,1449.17398
