M1,P19,P23,M2,P2,M3,P18,M4,P29,M5,M6,P4,M7,P1,M8,P12,M9,M10,P14,M11,P21,P13,M12,P26,M13,M14,P7,M15,P28,M16,M17,M18,P22,M19,P17,M20,M21,P30,M22,P8,M23,P20,M24,M25,M26,M27,M28,M29,P16,M30,P5,P3,P6,P9,P10,P11,P15,P24,P25,P27
2.02020,2.40630,678.33079,83.13984,26.66819,625.75356,31.19646,756.44864,2.66050,99.00960,2.45893,2.76312,134.94155,1.65624,159.56544,33.13698,616.67781,27.49117,0.70952,284.68465,1.07948,146.56119,633.80115,23.64625,30.59751,24.25084,6.25711,67.99736,2.45227,664.65804,0.74685,27.30361,28.87132,26.98938,30.24973,637.97495,40.36731,3.46630,87.58587,0.88023,793.69370,1.39214,863.52928,1.14704,1.05190,0.73415,32.74990,30.24235,3.09383,25.75200,1.27982,118.46506,895.56398,102.37185,620.30496,29.00452,59.52763,107.40090,36.44634,40.94836,636.03171
2.22222,2.27397,765.02790,81.77204,27.50105,692.58080,32.56098,858.41692,2.50936,112.45007,2.28242,2.70602,139.40058,1.59316,164.93151,34.81376,702.51687,28.48808,0.70001,303.46923,1.01317,152.16776,704.29765,24.55521,30.96450,24.90799,6.08706,69.37938,2.23366,751.18851,0.72785,28.30122,30.05207,27.33990,31.62381,712.95715,43.19102,3.34992,92.76355,0.84630,901.99111,1.29078,994.27968,1.14318,0.99812,0.70185,34.37547,31.76962,3.22767,25.96146,1.23535,120.54536,1026.96419,106.43388,690.33781,30.41696,60.51707,104.10337,38.81524,41.04385,709.99744
2.42424,2.17071,847.70673,80.04078,28.18287,754.51030,33.73603,957.45825,2.37411,125.96243,2.12047,2.65330,142.67539,1.53799,169.31856,36.28378,785.65253,29.31699,0.69209,320.19056,0.95798,156.60968,770.36798,25.29953,31.11581,25.43352,5.93634,70.26247,2.04972,834.14211,0.71188,29.13065,31.05225,27.45472,32.80104,783.43902,45.79922,3.24682,97.56430,0.81516,1007.33390,1.21188,1124.36154,1.13784,0.95363,0.67472,35.79800,33.09980,3.35190,26.04270,1.20023,121.43193,1157.78022,109.71817,755.62163,31.64971,61.06940,100.18527,40.88259,40.84671,779.49870
2.62626,2.09175,925.86125,78.09896,28.74102,811.44393,34.74790,1052.87736,2.25360,139.49113,1.97254,2.60513,144.94837,1.48990,172.93610,37.57246,865.45339,30.00616,0.68551,335.08880,0.91216,160.07291,831.82678,25.90743,31.10542,25.85314,5.80591,70.74763,1.89525,912.95715,0.69846,29.82017,31.89940,27.38752,33.80950,849.13426,48.20822,3.15644,102.04940,0.78679,1108.93268,1.15046,1252.68640,1.13158,0.91695,0.65197,37.04279,34.25793,3.46788,26.03046,1.17287,121.32674,1287.02439,112.33900,815.96509,32.72770,61.28149,95.92075,42.67657,40.44668,844.26892
2.82828,2.03298,999.19663,76.05776,29.19791,863.43587,35.61921,1144.18796,2.14656,152.99035,1.83785,2.56150,146.38048,1.44810,175.95627,38.70212,941.49195,30.57912,0.68005,348.39121,0.87415,162.72157,888.64073,26.40249,30.97645,26.18757,5.69547,70.91948,1.76570,987.28057,0.68718,30.39335,32.61687,27.18292,34.67331,909.93851,50.43311,3.07794,106.26980,0.76109,1206.22295,1.10264,1378.38748,1.12482,0.88675,0.63293,38.13199,35.26604,3.57665,25.95180,1.15195,120.40780,1413.91059,114.39810,871.34820,33.67224,61.23231,91.51476,44.22489,39.91290,904.21665
3.03030,1.99086,1067.58121,73.99661,29.57193,910.64655,36.36947,1231.07163,2.05171,166.42203,1.71552,2.52232,147.11250,1.41184,178.51950,39.69234,1013.50213,31.05546,0.67554,360.30739,0.84265,164.69876,940.88614,26.80437,30.76307,26.45351,5.60404,70.84835,1.65715,1056.92356,0.67770,30.86978,33.22448,26.87758,35.41320,965.88166,52.48789,3.01034,110.26788,0.73792,1298.82331,1.06538,1500.78611,1.11782,0.86193,0.61700,39.08501,36.14343,3.67903,25.82765,1.13639,118.83054,1537.82246,115.98523,921.87389,34.50152,60.98577,87.11726,45.55393,39.29782,959.37928
3.23232,1.96241,1131.00831,71.97094,29.87809,953.30824,37.01549,1313.34429,1.96779,179.75437,1.60463,2.48739,147.26680,1.38041,180.73948,40.56031,1081.34487,31.45147,0.67181,371.02738,0.81655,166.12805,988.71683,27.12940,30.49211,26.66439,5.53021,70.59217,1.56624,1121.82533,0.66974,31.26580,33.73903,26.50125,36.04690,1017.09097,54.38550,2.95258,114.07891,0.71709,1386.50079,1.03632,1619.36282,1.11078,0.84151,0.60369,39.91888,36.90699,3.77569,25.67402,1.12528,116.72972,1658.28649,117.17910,967.73125,35.23106,60.59332,82.83487,46.68839,38.64066,1009.88737
3.43434,1.94508,1189.56425,70.01823,30.12872,991.69768,37.57176,1390.92763,1.89364,192.96061,1.50424,2.45648,146.94904,1.35318,182.70752,41.32111,1144.97921,31.78068,0.66873,380.72079,0.79493,167.11521,1032.33846,27.39115,30.18443,26.83105,5.47234,70.19831,1.49013,1182.02265,0.66305,31.59496,34.17476,26.07779,36.58963,1063.76102,56.13793,2.90361,117.73234,0.69840,1469.14106,1.01363,1733.73200,1.10384,0.82472,0.59257,40.64846,37.57147,3.86716,25.50306,1.11790,114.22126,1774.94849,118.04827,1009.16589,35.87411,60.09610,78.74060,47.65101,37.97014,1055.93572
3.63636,1.93673,1243.40333,68.16268,30.33388,1026.11632,38.05072,1463.82603,1.82817,206.01817,1.41347,2.42936,146.24998,1.32958,184.49628,41.98796,1204.43919,32.05438,0.66618,389.53733,0.77701,167.74997,1071.98940,27.60090,29.85608,26.96222,5.42876,69.70518,1.42642,1237.62536,0.65743,31.86855,34.54374,25.62610,37.05446,1106.13110,57.75625,2.86243,121.25287,0.68167,1546.72392,0.99587,1843.62029,1.09707,0.81090,0.58328,41.28679,38.14974,3.95386,25.32385,1.11364,111.40427,1887.55389,118.65211,1046.45814,36.44199,59.52680,74.88164,48.46251,37.30687,1097.76147
3.83838,1.93557,1292.72784,66.41866,30.50182,1056.87567,38.46313,1532.10762,1.77039,218.90785,1.33145,2.40576,145.24724,1.30911,186.16293,42.57246,1259.81519,32.28191,0.66407,397.60784,0.76215,168.10786,1107.92657,27.76798,29.51923,27.06494,5.39776,69.14363,1.37307,1288.79668,0.65271,32.09596,34.85619,25.16096,37.45254,1144.46779,59.25070,2.82808,124.66132,0.66669,1619.30288,0.98195,1948.84791,1.09053,0.79951,0.57551,41.84528,38.65303,4.03616,25.14308,1.11202,108.36294,1995.93086,119.04180,1079.90656,36.94440,58.91122,71.28558,49.14162,36.66514,1135.62750
